"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"component *(mS84)","component *(mS84)","component *(mS84)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0738670",1
"component *(MSH6)","component *(MSH6)","component *(MSH6)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0479520",1
"component *(MSH7)","component *(MSH7)","component *(MSH7)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0238730",1
"component *(MTR3/RRP41L)","component *(MTR3/RRP41L)","component *(MTR3/RRP41L)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0122110",1
"component *(ORC3)","component *(ORC3)","component *(ORC3)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0123420",1
"component *(PEN2)","component *(PEN2)","component *(PEN2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0323620",1
"component *(POP1)","component *(POP1)","component *(POP1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0361950",1
"component *(PSF2)","component *(PSF2)","component *(PSF2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0085420",1
"component *(RAD1-LIKE)","component *(RAD1-LIKE)","component *(RAD1-LIKE)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0644260",1
"component *(RAD50)","component *(RAD50)","component *(RAD50)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0441110",1
"component *(RRP41)","component *(RRP41)","component *(RRP41)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0086360",1
"component *(RRP42)","component *(RRP42)","component *(RRP42)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0701300",1
"component *(RRP43)","component *(RRP43)","component *(RRP43)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0341950",1
"component *(RRP46)","component *(RRP46)","component *(RRP46)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0536100",1
"component *(Sm-B)","component *(Sm-B)","component *(Sm-B)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0149820",1
"component *(SMU1)","component *(SMU1)","component *(SMU1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0259260",1
"component *(SMU2)","component *(SMU2)","component *(SMU2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0355850",1
"component *(SNAPC4)","component *(SNAPC4)","component *(SNAPC4)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0494820",1
"component *(SNRNP27)","component *(SNRNP27)","component *(SNRNP27)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0623090",1
"component *(SRP19)","component *(SRP19)","component *(SRP19)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0711810",1
"component *(SSL1)","component *(SSL1)","component *(SSL1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0180690",1
"component *(TFB2)","component *(TFB2)","component *(TFB2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0209100",1
"component *(TOP6A)","component *(TOP6A)","component *(TOP6A)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0385890",1
"component *(TOP6B)","component *(TOP6B)","component *(TOP6B)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0471060",1
"component *(TRM112)","component *(TRM112)","component *(TRM112)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0123800",1
"component *(TRM7)","component *(TRM7)","component *(TRM7)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0726560",1
"component *(TRM734)","component *(TRM734)","component *(TRM734)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0417170",1
"component *(TRM82)","component *(TRM82)","component *(TRM82)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0510120",1
"component *(TRM9)","component *(TRM9)","component *(TRM9)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0614630",1
"component *(U11-35K)","component *(U11-35K)","component *(U11-35K)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0495740",1
"component *(U11-59K)","component *(U11-59K)","component *(U11-59K)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0248300",1
"component *(U11/U12-20K)","component *(U11/U12-20K)","component *(U11/U12-20K)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0252620",1
"component *(U2A)","component *(U2A)","component *(U2A)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0534960",1
"component *(uL11)","component *(uL11)","component *(uL11)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0194250",1
"component *(uL29m)","component *(uL29m)","component *(uL29m)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0643190",1
"component *(USP39)","component *(USP39)","component *(USP39)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0168890",1
"component *(VIP3/SKI8)","component *(VIP3/SKI8)","component *(VIP3/SKI8)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0363150",1
"component *(WDR8)","component *(WDR8)","component *(WDR8)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0057670",1
"component *(XPD)","component *(XPD)","component *(XPD)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0019930",1
"D-glucuronic acid kinase","D-glucuronic acid kinase","D-glucuronic acid kinase","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0549920",1
"dihydroxy-acid dehydratase *(DHAD)","dihydroxy-acid dehydratase *(DHAD)","dihydroxy-acid dehydratase *(DHAD)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0689590",1
"diphthamide biosynthesis protein *(DPH1)","diphthamide biosynthesis protein *(DPH1)","diphthamide biosynthesis protein *(DPH1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0628940",1
"diphthamide biosynthesis protein *(DPH2)","diphthamide biosynthesis protein *(DPH2)","diphthamide biosynthesis protein *(DPH2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0343180",1
"diphthine methyl ester synthase *(DPH5)","diphthine methyl ester synthase *(DPH5)","diphthine methyl ester synthase *(DPH5)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0468500",1
"DNA helicase *(RVB2)","DNA helicase *(RVB2)","DNA helicase *(RVB2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0131320",1
"E1 UFM-ubiquitin-activating enzyme *(UBA5)","E1 UFM-ubiquitin-activating enzyme *(UBA5)","E1 UFM-ubiquitin-activating enzyme *(UBA5)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0651550",1
"endopeptidase *(DEG14)","endopeptidase *(DEG14)","endopeptidase *(DEG14)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0343980",1
"enoyl-CoA hydratase *(ECH)","enoyl-CoA hydratase *(ECH)","enoyl-CoA hydratase *(ECH)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0289150",1
"exoribonuclease *(RRP44a)","exoribonuclease *(RRP44a)","exoribonuclease *(RRP44a)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0410560",1
"GIPC mannosyltransferase *(GMT1)","GIPC mannosyltransferase *(GMT1)","GIPC mannosyltransferase *(GMT1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0726550",1
"hydrolase component *(DCP2)","hydrolase component *(DCP2)","hydrolase component *(DCP2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0627220",1
"large subunit *(RNR1)","large subunit *(RNR1)","large subunit *(RNR1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0626930",1
"mannan biosynthesis accessory protein *(MSR)","mannan biosynthesis accessory protein *(MSR)","mannan biosynthesis accessory protein *(MSR)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0492650",1
"membrane insertase *(OXA2)","membrane insertase *(OXA2)","membrane insertase *(OXA2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0656510",1
"miRNA nuclear export factor *(HASTY)","miRNA nuclear export factor *(HASTY)","miRNA nuclear export factor *(HASTY)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0264580",1
"molecular co-chaperone *(RAR1)","molecular co-chaperone *(RAR1)","molecular co-chaperone *(RAR1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0189710",1
"N-acetyltransferase cohesin cofactor *(CTF7)","N-acetyltransferase cohesin cofactor *(CTF7)","N-acetyltransferase cohesin cofactor *(CTF7)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0178750",1
"N2-acetylornithine:glutamate acetyltransferase","N2-acetylornithine:glutamate acetyltransferase","N2-acetylornithine:glutamate acetyltransferase","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0387070",1
"N6-methylated-AMP deaminase *(MAPDA/ADAL)","N6-methylated-AMP deaminase *(MAPDA/ADAL)","N6-methylated-AMP deaminase *(MAPDA/ADAL)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0116500",1
"NSUN-group-IV rRNA methyltransferase","NSUN-group-IV rRNA methyltransferase","NSUN-group-IV rRNA methyltransferase","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0719480",1
"NSUN-group-V rRNA methyltransferase","NSUN-group-V rRNA methyltransferase","NSUN-group-V rRNA methyltransferase","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0579150",1
"nucleoporin *(NUP62)","nucleoporin *(NUP62)","nucleoporin *(NUP62)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0301030",1
"nucleoporin *(PNET1)","nucleoporin *(PNET1)","nucleoporin *(PNET1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0385160",1
"peptidyl-prolyl cis-trans isomerase component *(PPIL1)","peptidyl-prolyl cis-trans isomerase component *(PPIL1)","peptidyl-prolyl cis-trans isomerase component *(PPIL1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0689490",1
"phosphodiesterase *(PIG-O)","phosphodiesterase *(PIG-O)","phosphodiesterase *(PIG-O)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0444990",1
"phosphoethanolamine transferase-I *(PIG-N)","phosphoethanolamine transferase-I *(PIG-N)","phosphoethanolamine transferase-I *(PIG-N)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0589240",1
"PIP/PIPL peptide receptor *(RLK7)","PIP/PIPL peptide receptor *(RLK7)","PIP/PIPL peptide receptor *(RLK7)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0421310",1
"pre-rRNA cleavage factor *(LAS1)","pre-rRNA cleavage factor *(LAS1)","pre-rRNA cleavage factor *(LAS1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0295660",1
"pre-rRNA processing endonuclease *(NOB1)","pre-rRNA processing endonuclease *(NOB1)","pre-rRNA processing endonuclease *(NOB1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0544400",1
"recombination mediator *(WHY)","recombination mediator *(WHY)","recombination mediator *(WHY)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0564520",1
"regulatory component","regulatory component","regulatory component","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0518530",1
"regulatory EIN2-stabilizing factor *(MHZ3)","regulatory EIN2-stabilizing factor *(MHZ3)","regulatory EIN2-stabilizing factor *(MHZ3)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0640570",1
"regulatory protein *(AAR2)","regulatory protein *(AAR2)","regulatory protein *(AAR2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0097040",1
"regulatory protein *(AXR4)","regulatory protein *(AXR4)","regulatory protein *(AXR4)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0481760",1
"regulatory protein *(CYCJ18)","regulatory protein *(CYCJ18)","regulatory protein *(CYCJ18)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0393510",1
"regulatory protein *(HOS)","regulatory protein *(HOS)","regulatory protein *(HOS)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0340600",1
"regulatory protein *(MEP33)","regulatory protein *(MEP33)","regulatory protein *(MEP33)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0303500",1
"regulatory protein *(MYC2)","regulatory protein *(MYC2)","regulatory protein *(MYC2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0053170",1
"regulatory protein *(NOF1)","regulatory protein *(NOF1)","regulatory protein *(NOF1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0530580",1
"ribosome biogenesis GTPase *(SIN2)","ribosome biogenesis GTPase *(SIN2)","ribosome biogenesis GTPase *(SIN2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0421560",1
"RNA editing factor *(MEF13)","RNA editing factor *(MEF13)","RNA editing factor *(MEF13)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0054820",1
"RNA editing factor *(MEF9)","RNA editing factor *(MEF9)","RNA editing factor *(MEF9)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0666560",1
"RNA editing factor *(OTP71)","RNA editing factor *(OTP71)","RNA editing factor *(OTP71)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0300900",1
"RNA editing factor *(POCO1)","RNA editing factor *(POCO1)","RNA editing factor *(POCO1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0258630",1
"RNA editing factor *(SLG1)","RNA editing factor *(SLG1)","RNA editing factor *(SLG1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0170210",1
"RNA splicing factor *(CFM9)","RNA splicing factor *(CFM9)","RNA splicing factor *(CFM9)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0020210",1
"RNA splicing factor *(MISF26)","RNA splicing factor *(MISF26)","RNA splicing factor *(MISF26)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0233700",1
"RNA splicing factor *(MISF68)","RNA splicing factor *(MISF68)","RNA splicing factor *(MISF68)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0487010",1
"RNA splicing factor *(mTERF15)","RNA splicing factor *(mTERF15)","RNA splicing factor *(mTERF15)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0343060",1
"RNA splicing factor *(RTP7)","RNA splicing factor *(RTP7)","RNA splicing factor *(RTP7)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0447170",1
"RNA splicing factor *(RUG3)","RNA splicing factor *(RUG3)","RNA splicing factor *(RUG3)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0505890",1
"RNA splicing factor *(THA8-L)","RNA splicing factor *(THA8-L)","RNA splicing factor *(THA8-L)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0137000",1
"rRNA adenosine dimethylase *(DIM1A)","rRNA adenosine dimethylase *(DIM1A)","rRNA adenosine dimethylase *(DIM1A)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0712920",1
"RsmG-type rRNA methyltransferase","RsmG-type rRNA methyltransferase","RsmG-type rRNA methyltransferase","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0667910",1
"scaffold component *(CKS)","scaffold component *(CKS)","scaffold component *(CKS)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0407610",1
"scaffold factor *(COILIN)","scaffold factor *(COILIN)","scaffold factor *(COILIN)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0078510",1
"scaffold nucleoporin *(NUP160)","scaffold nucleoporin *(NUP160)","scaffold nucleoporin *(NUP160)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0557980",1
"scaffold nucleoporin *(NUP43)","scaffold nucleoporin *(NUP43)","scaffold nucleoporin *(NUP43)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0005810",1
"scaffold nucleoporin *(NUP75/85)","scaffold nucleoporin *(NUP75/85)","scaffold nucleoporin *(NUP75/85)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0288320",1
"scaffold nucleoporin *(NUP96/MOS3)","scaffold nucleoporin *(NUP96/MOS3)","scaffold nucleoporin *(NUP96/MOS3)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0403800",1
"scaffold nucleoporin *(SEH1)","scaffold nucleoporin *(SEH1)","scaffold nucleoporin *(SEH1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0273010",1
"serine alpha-1,3-galactosyltransferase *(SGT1)","serine alpha-1,3-galactosyltransferase *(SGT1)","serine alpha-1,3-galactosyltransferase *(SGT1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0304780",1
"small subunit *(RNR2)","small subunit *(RNR2)","small subunit *(RNR2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0670020",1
"subclass XBCP3 cysteine protease","subclass XBCP3 cysteine protease","subclass XBCP3 cysteine protease","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0076400",1
"subcluster J protein phosphatase","subcluster J protein phosphatase","subcluster J protein phosphatase","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0298380",1
"transport karyopherin *(PLANTKAP)","transport karyopherin *(PLANTKAP)","transport karyopherin *(PLANTKAP)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0358890",1
"tRNA pseudouridine synthase *(TRUA1)","tRNA pseudouridine synthase *(TRUA1)","tRNA pseudouridine synthase *(TRUA1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0602680",1
"tRNA pseudouridine synthase *(TRUA3)","tRNA pseudouridine synthase *(TRUA3)","tRNA pseudouridine synthase *(TRUA3)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0233670",1
"U6-snRNA maturation factor *(SEAP1)","U6-snRNA maturation factor *(SEAP1)","U6-snRNA maturation factor *(SEAP1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0705220",1
"UFM ubiquitin-fold protein *(UFM1)","UFM ubiquitin-fold protein *(UFM1)","UFM ubiquitin-fold protein *(UFM1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0324900",1
"xyloglucan O-acetyltransferase *(AXY9)","xyloglucan O-acetyltransferase *(AXY9)","xyloglucan O-acetyltransferase *(AXY9)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0054490",1
"GPI N-acetylglucosamine transferase complex","GPI N-acetylglucosamine transferase complex","GPI N-acetylglucosamine transferase complex","2/1542","8/35106",0.25,5.69163424124514,2.84457753100679,0.0452573676278596,0.0946488217217255,0.051761969048058,"HORVU.MOREX.r3.3HG0234720/HORVU.MOREX.r3.4HG0418680",2
